family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,exp_wins,realized_minus_exp,hr_minus_be,profit,roi,avg_implied_ev,unique_weeks,longest_losing_streak,max_drawdown,worst_rolling10,boot_point_roi,boot_2p5,boot_97p5,boot_p_pos,largest_season_share,largest_sel_team_share,per_season,status
LONG_DOG_201+_CONTEXT,XGB,LONG201+,292,50,240,2,0.1712,366.14,4.6614,0.2358,68.85,-18.85,-0.0646,-72.0,-0.2466,0.6544,52,23,74.45,-10.0,-0.2466,-0.437,-0.0461,0.0066,0.3699,0.0788,"{""2020"": {""N"": 100, ""hit_rate"": 0.15, ""profit"": -29.65, ""roi"": -0.2965}, ""2021"": {""N"": 108, ""hit_rate"": 0.2037, ""profit"": -12.3, ""roi"": -0.1139}, ""2022"": {""N"": 84, ""hit_rate"": 0.1548, ""profit"": -30.05, ""roi"": -0.3577}}",DISCOVERY_NEGATIVE
LONG_DOG_201+_CONTEXT,AVG,LONG201+,322,59,261,2,0.1832,358.75,4.5875,0.2389,76.92,-17.92,-0.0556,-66.85,-0.2076,0.4678,58,21,72.55,-10.0,-0.2076,-0.3762,-0.0295,0.0102,0.3665,0.0839,"{""2020"": {""N"": 109, ""hit_rate"": 0.156, ""profit"": -30.8, ""roi"": -0.2826}, ""2021"": {""N"": 118, ""hit_rate"": 0.2119, ""profit"": -9.65, ""roi"": -0.0818}, ""2022"": {""N"": 95, ""hit_rate"": 0.1789, ""profit"": -26.4, ""roi"": -0.2779}}",DISCOVERY_NEGATIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,0-1,109,60,47,2,0.5505,-94.61,1.932,0.5178,56.44,3.56,0.0327,8.7,0.0798,,52,5,7.8,-4.31,0.0798,-0.1147,0.2716,0.7984,0.422,0.0642,"{""2020"": {""N"": 29, ""hit_rate"": 0.4138, ""profit"": -4.75, ""roi"": -0.1638}, ""2021"": {""N"": 34, ""hit_rate"": 0.6176, ""profit"": 6.45, ""roi"": 0.1897}, ""2022"": {""N"": 46, ""hit_rate"": 0.587, ""profit"": 7.0, ""roi"": 0.1522}}",DISCOVERY_POSITIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,1-2,135,74,59,2,0.5481,-94.28,1.9306,0.5182,69.95,4.05,0.03,9.75,0.0722,,50,7,10.63,-6.14,0.0722,-0.094,0.2374,0.7948,0.363,0.0667,"{""2020"": {""N"": 43, ""hit_rate"": 0.5581, ""profit"": 3.12, ""roi"": 0.0725}, ""2021"": {""N"": 43, ""hit_rate"": 0.4884, ""profit"": -2.39, ""roi"": -0.0555}, ""2022"": {""N"": 49, ""hit_rate"": 0.5918, ""profit"": 9.01, ""roi"": 0.184}}",DISCOVERY_POSITIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,2-3,117,67,48,2,0.5726,-101.12,1.9273,0.519,60.72,6.28,0.0537,14.02,0.1198,,51,6,8.73,-6.14,0.1198,-0.0555,0.2861,0.9124,0.3504,0.094,"{""2020"": {""N"": 40, ""hit_rate"": 0.6, ""profit"": 7.2, ""roi"": 0.1801}, ""2021"": {""N"": 41, ""hit_rate"": 0.5122, ""profit"": -0.65, ""roi"": -0.0159}, ""2022"": {""N"": 36, ""hit_rate"": 0.6111, ""profit"": 7.47, ""roi"": 0.2075}}",DISCOVERY_POSITIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,3-4,106,61,44,1,0.5755,-94.15,1.9328,0.5176,54.86,6.14,0.0579,13.02,0.1228,,54,4,6.2,-5.15,0.1228,-0.0412,0.279,0.9336,0.4057,0.0849,"{""2020"": {""N"": 33, ""hit_rate"": 0.5152, ""profit"": 1.01, ""roi"": 0.0306}, ""2021"": {""N"": 43, ""hit_rate"": 0.5814, ""profit"": 5.04, ""roi"": 0.1171}, ""2022"": {""N"": 30, ""hit_rate"": 0.6333, ""profit"": 6.98, ""roi"": 0.2326}}",DISCOVERY_POSITIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,4+,371,171,191,9,0.4609,-103.4,1.9247,0.5197,192.8,-21.8,-0.0588,-32.88,-0.0886,,61,8,40.85,-8.09,-0.0886,-0.1879,0.0066,0.0346,0.3342,0.0728,"{""2020"": {""N"": 124, ""hit_rate"": 0.5081, ""profit"": 0.23, ""roi"": 0.0019}, ""2021"": {""N"": 124, ""hit_rate"": 0.3952, ""profit"": -27.95, ""roi"": -0.2254}, ""2022"": {""N"": 123, ""hit_rate"": 0.4797, ""profit"": -5.16, ""roi"": -0.0419}}",DISCOVERY_NEGATIVE
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,ALL,838,433,389,16,0.5167,-99.3,1.928,0.5188,434.77,-1.77,-0.0021,12.61,0.015,,65,10,33.42,-10.0,0.015,-0.0471,0.078,0.6766,0.3401,0.0501,"{""2020"": {""N"": 269, ""hit_rate"": 0.5204, ""profit"": 6.81, ""roi"": 0.0253}, ""2021"": {""N"": 285, ""hit_rate"": 0.4807, ""profit"": -19.5, ""roi"": -0.0684}, ""2022"": {""N"": 284, ""hit_rate"": 0.5493, ""profit"": 25.3, ""roi"": 0.0891}}",DISCOVERY_NEGATIVE
TOTAL_R4_DISAGREEMENT,RIDGE_R4,0-1,192,101,90,1,0.526,-108.39,1.923,0.5201,99.85,1.15,0.006,3.32,0.0173,,58,10,17.3,-10.0,0.0173,-0.1281,0.1607,0.5896,0.3385,0.0677,"{""2020"": {""N"": 64, ""hit_rate"": 0.4062, ""profit"": -12.98, ""roi"": -0.2027}, ""2021"": {""N"": 63, ""hit_rate"": 0.619, ""profit"": 11.94, ""roi"": 0.1894}, ""2022"": {""N"": 65, ""hit_rate"": 0.5538, ""profit"": 4.36, ""roi"": 0.0671}}",DISCOVERY_POSITIVE
TOTAL_R4_DISAGREEMENT,RIDGE_R4,1-2,160,77,83,0,0.4813,-107.21,1.9224,0.5202,83.24,-6.24,-0.039,-11.89,-0.0743,,58,8,22.32,-8.06,-0.0743,-0.2328,0.0809,0.1656,0.3625,0.0625,"{""2020"": {""N"": 54, ""hit_rate"": 0.4259, ""profit"": -9.79, ""roi"": -0.1813}, ""2021"": {""N"": 58, ""hit_rate"": 0.4483, ""profit"": -8.01, ""roi"": -0.1381}, ""2022"": {""N"": 48, ""hit_rate"": 0.5833, ""profit"": 5.91, ""roi"": 0.1231}}",DISCOVERY_NEGATIVE
