season,week,season_type,game_id,away_team,home_team,feature_as_of_utc,historical_identity_usage,feature_builder,away_actual_starting_qb_gsis_id,home_actual_starting_qb_gsis_id,away_passing_epa,home_passing_epa,away_prior_dropbacks,home_prior_dropbacks,qb_passing_epa_net_home_minus_away
2018,5,REG,2018_05_DEN_NYJ,DEN,NYJ,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0028986,00-0034869,-0.07323319926379254,-0.05611595647772888,150.0,137.0,0.017117242786063663
2018,5,REG,2018_05_GB_DET,GB,DET,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0023459,00-0026498,-0.018553621745706794,0.0011132632362418071,168.0,171.0,0.0196668849819486
2018,5,REG,2018_05_IND_NE,IND,NE,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029668,00-0019596,-0.012564144663003839,0.006184213528132115,195.0,141.0,0.018748358191135954
2018,5,REG,2018_05_JAX_KC,JAX,KC,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031407,00-0033873,0.033213691852115784,0.14169163793155876,156.0,143.0,0.10847794607944297
2018,5,REG,2018_05_LA_SEA,LAR,SEA,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033106,00-0029263,0.14842663920657004,-0.03220107846664444,139.0,137.0,-0.18062771767321448
2018,5,REG,2018_05_MIA_CIN,MIA,CIN,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029701,00-0027973,-0.0438633788186057,0.04393502534546594,102.0,164.0,0.08779840416407164
2018,5,REG,2018_05_MIN_PHI,MIN,PHI,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029604,00-0032950,-0.0043567903473253865,-0.04333692993198253,202.0,96.0,-0.03898013958465714
2018,5,REG,2018_05_NYG_CAR,NYG,CAR,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022803,00-0027939,-0.025761589877470126,-0.01791436781629228,166.0,101.0,0.007847222061177845
2018,5,REG,2018_05_OAK_LAC,LV,LAC,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031280,00-0022942,-0.0056380178075937475,0.07199132380816733,177.0,152.0,0.07762934161576109
2018,5,REG,2018_05_TEN_BUF,TEN,BUF,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0032268,00-0034857,-0.04514281350629705,-0.08829041802193394,81.0,120.0,-0.043147604515636886
2018,5,REG,2018_05_WAS_NO,WAS,NO,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0023436,00-0020531,0.018057337219706752,0.09402944492307407,102.0,167.0,0.07597210770336732
2018,6,REG,2018_06_ARI_MIN,ARI,MIN,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034343,00-0029604,-0.04197086149085976,0.017830853332601218,62.0,240.0,0.05980171482346098
2018,6,REG,2018_06_BAL_TEN,BAL,TEN,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0026158,00-0032268,-0.00843648640292655,-0.05157101030000796,238.0,109.0,-0.04313452389708142
2018,6,REG,2018_06_BUF_HOU,BUF,HOU,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034857,00-0033537,-0.10604568274111742,0.026269410845646126,140.0,210.0,0.13231509358676355
2018,6,REG,2018_06_CAR_WAS,CAR,WAS,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0027939,00-0023436,-0.02199468223193409,-0.009587592067725758,137.0,144.0,0.012407090164208334
2018,6,REG,2018_06_CHI_MIA,CHI,MIA,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033869,00-0029682,0.003823079281791847,-0.02227287403736994,140.0,5.0,-0.026095953319161785
2018,6,REG,2018_06_IND_NYJ,IND,NYJ,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029668,00-0034869,-0.00004523113642244253,-0.04304284959001762,255.0,160.0,-0.04299761845359518
2018,6,REG,2018_06_JAX_DAL,JAX,DAL,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031407,00-0033077,-0.014081246320862897,-0.07781987696556827,222.0,160.0,-0.06373863064470538
2018,6,REG,2018_06_KC_NE,KC,NE,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033873,00-0019596,0.15223156111785952,0.02867346204590457,182.0,185.0,-0.12355809907195495
2018,6,REG,2018_06_LAC_CLE,LAC,CLE,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022942,00-0034855,0.11176047114518453,-0.03654403598918292,180.0,115.0,-0.14830450713436744
2018,6,REG,2018_06_LA_DEN,LAR,DEN,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033106,00-0028986,0.16097382751280892,-0.06778103191122567,172.0,205.0,-0.2287548594240346
2018,6,REG,2018_06_PHI_NYG,PHI,NYG,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0032950,00-0022803,-0.04113058384457022,-0.015990091531467264,134.0,203.0,0.025140492313102954
2018,6,REG,2018_06_PIT_CIN,PIT,CIN,2018-10-09T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022924,00-0027973,0.028726372145849857,0.04431965082400852,224.0,196.0,0.015593278678158667
