game_id,team_side,canonical_team,researched_name,raw_candidate_name,candidate_pfr_id,crosswalk_name,comparison_status,resolution_basis,notes
2019_17_NO_CAR,away,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_18_MIN_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2019_18_MIN_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2020_01_TB_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2020_01_TB_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2020_03_GB_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2020_03_GB_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2020_07_CAR_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2020_07_CAR_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2020_10_SF_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2020_10_SF_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2020_18_CHI_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2020_18_CHI_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2021_02_NO_CAR,away,NO,Jameis Winston,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2021_02_NO_CAR,away,NO,Jameis Winston,Jameis Winston,WinsJa00,Jameis Winston,EXACT_NAME_MATCH,EXACT_STRING,
2021_03_NO_NE,away,NO,Jameis Winston,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
