season,week,season_type,gameday,game_id,away_team,home_team,team_side,canonical_team,canonical_opponent,actual_starting_qb_name,actual_starting_qb_pfr_id,actual_starting_qb_gsis_id,starter_resolution_class,starter_source,starter_source_game_id,starter_source_locator,starter_source_rank,starter_evidence_class,historical_model_usage,postseason_flag,semantic_exception_flag,official_qb_start_credit,notes
2025,2,REG,2025-09-14,2025_02_PHI_KC,PHI,KC,away,PHI,KC,Jalen Hurts,HurtJa00,00-0036389,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_PHI_KC,2025 Stathead pasted rank 395,395,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_PHI_KC,PHI,KC,home,KC,PHI,Patrick Mahomes,MahoPa00,00-0033873,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_PHI_KC,2025 Stathead pasted rank 309,309,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_SEA_PIT,SEA,PIT,away,SEA,PIT,Sam Darnold,DarnSa00,00-0034869,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_SEA_PIT,2025 Stathead pasted rank 490,490,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_SEA_PIT,SEA,PIT,home,PIT,SEA,Aaron Rodgers,RodgAa00,00-0023459,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_SEA_PIT,2025 Stathead pasted rank 15,15,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_SF_NO,SF,NO,away,SF,NO,Mac Jones,JoneMa05,00-0036972,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_SF_NO,2025 Stathead pasted rank 358,358,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_SF_NO,SF,NO,home,NO,SF,Spencer Rattler,RattSp00,00-0039376,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_SF_NO,2025 Stathead pasted rank 14,14,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-15,2025_02_TB_HOU,TB,HOU,away,TB,HOU,Baker Mayfield,MayfBa00,00-0034855,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_TB_HOU,2025 Stathead pasted rank 263,263,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-15,2025_02_TB_HOU,TB,HOU,home,HOU,TB,C.J. Stroud,StroCJ00,00-0039163,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_TB_HOU,2025 Stathead pasted rank 18,18,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-11,2025_02_WAS_GB,WAS,GB,away,WAS,GB,Jayden Daniels,DaniJa02,00-0039910,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_WAS_GB,2025 Stathead pasted rank 508,508,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-11,2025_02_WAS_GB,WAS,GB,home,GB,WAS,Jordan Love,LoveJo03,00-0036264,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_WAS_GB,2025 Stathead pasted rank 327,327,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,3,REG,2025-09-21,2025_03_ARI_SF,ARI,SF,away,ARI,SF,Kyler Murray,MurrKy00,00-0035228,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_03_ARI_SF,2025 Stathead pasted rank 244,244,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,3,REG,2025-09-21,2025_03_ARI_SF,ARI,SF,home,SF,ARI,Mac Jones,JoneMa05,00-0036972,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_03_ARI_SF,2025 Stathead pasted rank 359,359,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
